segmento_id,trecho,estacao_m,dist_eixo_p4_m,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,634.5,0.9,669386,2020-01-11 00:00:00,14:10:00.0000000,SÁBADO,-30.100344553869576,-51.22503295540811,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,0,0,1,0,0
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,1075.4,1.2,669440,2020-01-10 00:00:00,09:15:00.0000000,SEXTA-FEIRA,-30.103792769868264,-51.22309237718582,AV VICENTE MONTEGGIA,,ABALROAMENTO,0,0,0,0,0,0
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,1051.2,2.4,669457,2020-01-13 00:00:00,13:30:00.0000000,SEGUNDA-FEIRA,-30.10358045048825,-51.223147362470634,AV VICENTE MONTEGGIA,,COLISÃO,1,0,0,1,0,0
P4-S04,Estr. Aracaju -> Rua Amapa,1238.2,0.8,669723,2020-01-22 00:00:00,15:00:00.0000000,QUARTA-FEIRA,-30.10521750232251,-51.222700774669654,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,1,0,1,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1492.3,3.6,669833,2020-01-24 00:00:00,15:00:00.0000000,SEXTA-FEIRA,-30.1073679121808,-51.22192345662394,AV VICENTE MONTEGGIA,,ATROPELAMENTO,1,0,0,0,0,0
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,626.2,1.5,670086,2020-02-01 00:00:00,14:55:00.0000000,SÁBADO,-30.100276098834804,-51.2250678241253,AV VICENTE MONTEGGIA,,COLISÃO,0,0,0,0,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2340.3,7.5,671024,2020-03-02 00:00:00,20:23:00.0000000,SEGUNDA-FEIRA,-30.11239627472066,-51.2158516276403,AV VICENTE MONTEGGIA,,ATROPELAMENTO,1,1,0,0,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,1942.9,6.3,671515,2020-03-14 00:00:00,23:00:00.0000000,SÁBADO,-30.11046064718624,-51.218918833344645,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,1,0,1,0,0
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,668.1,26.8,671760,2020-03-17 00:00:00,07:20:00.0000000,TERÇA-FEIRA,-30.10072743708826,-51.22508168209607,AV OTTO NIEMEYER,AV VICENTE MONTEGGIA,ABALROAMENTO,0,0,0,0,0,0
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,1024.8,5.2,672360,2020-05-06 00:00:00,16:00:00.0000000,QUARTA-FEIRA,-30.103334811900684,-51.22312463461003,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,0,0,1,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2361.5,4.0,672642,2020-05-17 00:00:00,18:00:00.0000000,DOMINGO,-30.11250093491208,-51.21563182059024,AV VICENTE MONTEGGIA,,ABALROAMENTO,0,0,0,0,0,0
P4-S07,Estr. Joao Passuelo -> Av. Joao Salomoni / Av. Rodrigues da Fonseca,2805.5,0.3,673296,2020-06-23 00:00:00,17:00:00.0000000,TERÇA-FEIRA,-30.114705139648375,-51.21243998408318,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,0,0,1,0,0
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,321.7,1.7,673432,2020-06-24 00:00:00,10:50:00.0000000,QUARTA-FEIRA,-30.097750190927623,-51.224775463342674,AV VICENTE MONTEGGIA,,COLISÃO,0,0,0,0,0,0
P4-S04,Estr. Aracaju -> Rua Amapa,1246.8,0.2,673686,2020-07-09 00:00:00,06:40:00.0000000,QUINTA-FEIRA,-30.105294075309253,-51.222684681415565,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,1,0,1,0,0
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,659.2,2.9,673714,2020-07-10 00:00:00,23:30:00.0000000,SEXTA-FEIRA,-30.100544117429234,-51.224921643733985,AV VICENTE MONTEGGIA,,ABALROAMENTO,0,0,0,0,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1753.1,2.4,673927,2020-07-24 00:00:00,11:20:00.0000000,SEXTA-FEIRA,-30.10907357286917,-51.2200603994672,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,0,0,1,0,0
