ranking_distancia_no_ponto,ponto,rotulo_ponto,tipo_referencia,dist_m,limiar_principal_m,associacao_principal,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus,check_manual
1,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,2.0,100.0,sim,683635,2020-12-20 00:00:00,18:00:00.0000000,DOMINGO,-30.118306285597967,-51.20316992502019,ESTR TRES MENINAS ,,CHOQUE,1,1,0,1,0,0,
2,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,2.0,100.0,sim,680035,2021-03-09 00:00:00,19:50:00.0000000,TERÇA-FEIRA,-30.118306285597967,-51.20316992502019,ESTR TRES MENINAS ,ESTR COSTA GAMA,COLISÃO,0,0,0,0,0,0,
3,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,2.0,100.0,sim,692803,2022-02-23 00:00:00,22:20:00.0000000,QUARTA-FEIRA,-30.118306285597967,-51.20316992502019,ESTR TRES MENINAS ,BC IMPERIO,COLISÃO,0,0,0,0,0,0,
4,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,2.0,100.0,sim,733964,2023-08-09 00:00:00,09:21:00.0000000,QUARTA-FEIRA,-30.118306285597967,-51.20316992502019,ESTR TRES MENINAS ,ESTR CRISTIANO KRAEMER,COLISÃO,1,0,0,0,0,0,
5,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,2.0,100.0,sim,764359,2024-12-16 00:00:00,19:15:00.0000000,SEGUNDA-FEIRA,-30.118306285597967,-51.20316992502019,ESTR TRES MENINAS ,,COLISÃO,0,0,0,0,0,0,
6,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,7.0,100.0,sim,694281,2022-04-06 00:00:00,09:50:00.0000000,QUARTA-FEIRA,-30.118310620549874,-51.20326280593873,ESTR CRISTIANO KRAEMER ,ESTR TRES MENINAS,COLISÃO,0,0,0,0,0,0,
7,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,7.6,100.0,sim,736272,2023-09-28 00:00:00,18:45:00.0000000,QUINTA-FEIRA,-30.118299020114517,-51.20326817035676,ESTR CRISTIANO KRAEMER ,ESTR TRES MENINAS,ABALROAMENTO,0,0,0,0,0,0,
8,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,7.9,100.0,sim,695703,2022-05-09 00:00:00,07:50:00.0000000,SEGUNDA-FEIRA,-30.118363982534966,-51.203244030475624,ESTR CRISTIANO KRAEMER ,,ABALROAMENTO,0,0,0,1,0,0,
9,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,10.3,100.0,sim,742533,2024-02-28 00:00:00,12:30:00.0000000,QUARTA-FEIRA,-30.118231157540393,-51.20313338935375,ESTR TRES MENINAS ,ESTR CRISTIANO KRAEMER,ABALROAMENTO,0,0,0,0,0,0,
10,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,12.4,100.0,sim,768725,2025-03-20 00:00:00,06:20:00.0000000,QUINTA-FEIRA,-30.118225909696513,-51.20327433704222,ESTR CRISTIANO KRAEMER ,,TOMBAMENTO,0,0,0,0,0,0,
11,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,25.6,100.0,sim,681884,2021-05-09 00:00:00,00:30:00.0000000,DOMINGO,-30.11824493663934,-51.203444946124975,ESTR CRISTIANO KRAEMER ,,QUEDA,0,0,0,1,0,0,
12,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,25.6,100.0,sim,733934,2023-08-10 00:00:00,10:50:00.0000000,QUINTA-FEIRA,-30.11824493663934,-51.203444946124975,ESTR CRISTIANO KRAEMER ,,COLISÃO,1,0,0,0,0,0,
13,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,25.6,100.0,sim,743677,2024-03-25 00:00:00,09:30:00.0000000,SEGUNDA-FEIRA,-30.11824493663934,-51.203444946124975,ESTR CRISTIANO KRAEMER ,,ABALROAMENTO,0,0,0,0,0,0,
14,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,27.5,100.0,sim,704952,2023-01-01 00:00:00,22:40:00.0000000,DOMINGO,-30.11854994680238,-51.20312165398343,ESTR CRISTIANO KRAEMER ,ESTR TRES MENINAS,ABALROAMENTO,0,0,0,0,0,0,
15,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,31.7,100.0,sim,685775,2021-08-18 00:00:00,15:00:00.0000000,QUARTA-FEIRA,-30.118090804609295,-51.202979018242516,ESTR TRES MENINAS ,,COLISÃO,2,0,0,0,0,0,
16,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,31.7,100.0,sim,700080,2022-09-09 00:00:00,09:30:00.0000000,SEXTA-FEIRA,-30.118090804609295,-51.202979018242516,ESTR TRES MENINAS ,,ATROPELAMENTO,1,0,0,1,0,0,
17,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,34.5,100.0,sim,691279,2022-01-08 00:00:00,12:15:00.0000000,SÁBADO,-30.118440545332778,-51.202864497900016,ESTR CRISTIANO KRAEMER ,,COLISÃO,0,0,0,0,0,0,
18,P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,38.4,100.0,sim,765036,2024-12-17 00:00:00,07:40:00.0000000,TERÇA-FEIRA,-30.11806378877818,-51.20291009545327,ESTR TRES MENINAS ,,CHOQUE,0,0,0,0,0,0,
