ponto,rotulo_ponto,metodo_revisao,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus,observacao
P9,Rotula Estr. Cristiano Kraemer x Av. Juca Batista,par_logradouros_intersecao,670103,2020-02-01 00:00:00,23:30:00.0000000,SÁBADO,,,AV JUCA BATISTA,ESTR CRISTIANO KRAEMER,ABALROAMENTO,2,0,0,1,0,1,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,670959,2020-02-05 00:00:00,18:45:00.0000000,QUARTA-FEIRA,,,AV VICENTE MONTEGGIA,,EVENTUAL,1,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,672468,2020-05-06 00:00:00,07:48:00.0000000,QUARTA-FEIRA,,,AV VICENTE MONTEGGIA,R ANGELO PASSUELO,ABALROAMENTO,0,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P5,Joao Salomoni x Av. da Cavalhada,par_logradouros_intersecao,672471,2020-04-29 00:00:00,13:49:00.0000000,QUARTA-FEIRA,,,ESTR JOAO SALOMONI,AV DA CAVALHADA,CHOQUE,0,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,672890,2020-05-27 00:00:00,16:50:00.0000000,QUARTA-FEIRA,,,AV VICENTE MONTEGGIA,AV FABIO ARAUJO SANTOS,ABALROAMENTO,1,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P9,Rotula Estr. Cristiano Kraemer x Av. Juca Batista,par_logradouros_intersecao,674702,2020-08-16 00:00:00,20:50:00.0000000,DOMINGO,,,AV JUCA BATISTA,ESTR CRISTIANO KRAEMER,ATROPELAMENTO,2,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,par_logradouros_intersecao,674831,2020-08-25 00:00:00,05:50:00.0000000,TERÇA-FEIRA,0,0,AV VICENTE MONTEGGIA,AV RODRIGUES DA FONSECA,CHOQUE,1,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,674831,2020-08-25 00:00:00,05:50:00.0000000,TERÇA-FEIRA,0,0,AV VICENTE MONTEGGIA,AV RODRIGUES DA FONSECA,CHOQUE,1,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,675272,2020-09-01 00:00:00,18:45:00.0000000,TERÇA-FEIRA,0,0,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,675867,2020-09-29 00:00:00,19:30:00.0000000,TERÇA-FEIRA,,,ESTR JOAO VEDANA,AV VICENTE MONTEGGIA,COLISÃO,0,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P5,Joao Salomoni x Av. da Cavalhada,par_logradouros_intersecao,676025,2020-09-30 00:00:00,10:45:00.0000000,QUARTA-FEIRA,,,ESTR JOAO SALOMONI,AV DA CAVALHADA,ABALROAMENTO,0,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,676953,2020-11-12 00:00:00,11:50:00.0000000,QUINTA-FEIRA,,,AV VICENTE MONTEGGIA,AV DA CAVALHADA,ABALROAMENTO,0,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,par_logradouros_intersecao,680924,2021-04-10 00:00:00,21:00:00.0000000,SÁBADO,,,ESTR COSTA GAMA ,ESTR AFONSO LOURENCO MARIANTE,COLISÃO,0,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,698444,2022-07-22 00:00:00,22:50:00.0000000,SEXTA-FEIRA,,,AV NONOAI ,AV VICENTE MONTEGGIA,ABALROAMENTO,1,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P5,Joao Salomoni x Av. da Cavalhada,par_logradouros_intersecao,703034,2022-11-14 00:00:00,19:45:00.0000000,SEGUNDA-FEIRA,,,AV CAVALHADA ,ESTR JOAO SALOMONI,ABALROAMENTO,0,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,704551,2022-12-23 00:00:00,13:15:00.0000000,SEXTA-FEIRA,,,AV VICENTE MONTEGGIA ,,COLISÃO,1,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,731245,2023-06-04 00:00:00,22:20:00.0000000,DOMINGO,,,AV VICENTE MONTEGGIA ,R AMAPA,ABALROAMENTO,1,1,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,735368,2023-09-10 00:00:00,19:45:00.0000000,DOMINGO,,,AV VICENTE MONTEGGIA ,R AMAPA,ABALROAMENTO,0,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,737884,2023-11-08 00:00:00,08:32:00.0000000,QUARTA-FEIRA,,,AV VICENTE MONTEGGIA ,R JORGE NAPOLEAO SILVA SOUZA,ABALROAMENTO,1,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,743727,2024-03-29 00:00:00,12:30:00.0000000,SEXTA-FEIRA,,,AV VICENTE MONTEGGIA ,AV OTTO NIEMEYER,ABALROAMENTO,3,0,0,2,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,747127,2024-07-05 00:00:00,07:03:00.0000000,SEXTA-FEIRA,,,AV VICENTE MONTEGGIA ,AV OTTO NIEMEYER,ABALROAMENTO,1,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,747555,2024-07-22 00:00:00,16:55:00.0000000,SEGUNDA-FEIRA,,,AV VICENTE MONTEGGIA ,,ABALROAMENTO,0,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,760445,2024-08-22 00:00:00,07:00:00.0000000,QUINTA-FEIRA,,,AV FABIO ARAUJO SANTOS ,AV VICENTE MONTEGGIA,ABALROAMENTO,0,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P5,Joao Salomoni x Av. da Cavalhada,par_logradouros_intersecao,764489,2024-12-07 00:00:00,13:50:00.0000000,SÁBADO,,,AV CAVALHADA ,ESTR JOAO SALOMONI,ABALROAMENTO,1,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,765579,2025-01-09 00:00:00,18:30:00.0000000,QUINTA-FEIRA,,,AV VICENTE MONTEGGIA ,,COLISÃO,1,0,0,1,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,par_logradouros_intersecao,767382,2025-02-11 00:00:00,18:00:00.0000000,TERÇA-FEIRA,,,ESTR COSTA GAMA ,ESTR AFONSO LOURENCO MARIANTE,COLISÃO,0,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,768750,2025-03-20 00:00:00,05:40:00.0000000,QUINTA-FEIRA,,,R AMAPA ,AV VICENTE MONTEGGIA,COLISÃO,0,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,par_logradouros_intersecao,768827,2025-03-28 00:00:00,13:10:00.0000000,SEXTA-FEIRA,,,AV VICENTE MONTEGGIA ,ESTR JOAO SALOMONI,COLISÃO,0,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
P4,Corredor Av. Vicente Monteggia,logradouro_corredor_sem_coord,768827,2025-03-28 00:00:00,13:10:00.0000000,SEXTA-FEIRA,,,AV VICENTE MONTEGGIA ,ESTR JOAO SALOMONI,COLISÃO,0,0,0,0,0,0,Sem coordenada valida no CSV; nao foi atribuido por distancia.
