ponto,rotulo_ponto,tipo_referencia,dist_m,limiar_principal_m,associacao_principal,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus
P4,Corredor Av. Vicente Monteggia,polyline,4.3,50.0,sim,479718,20100101,07:00,SEXTA-FEIRA,-30.099332109999999,-51.225333999999997,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.7,50.0,sim,479774,20100104,07:25,SEGUNDA-FEIRA,-30.107367000000000,-51.221966000000002,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.7,50.0,sim,480169,20100109,22:15,SABADO,-30.107367000000000,-51.221966000000002,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,8.4,50.0,sim,480221,20100111,20:50,SEGUNDA-FEIRA,-30.101295709999999,-51.224066999999998,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,75.7,50.0,nao_contexto,480325,20100113,02:30,QUARTA-FEIRA,-30.095694000000002,-51.226329999999997,AV CAVALHADA,,BOLETIM,1,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,7.1,50.0,sim,480438,20100114,12:00,QUINTA-FEIRA,-30.095172999999999,-51.225712999999999,AV VICENTE MONTEGGIA,AV NONOAI,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,6.5,50.0,sim,480449,20100115,10:55,SEXTA-FEIRA,-30.110417720000001,-51.218955000000001,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.4,50.0,sim,480472,20100116,17:30,SABADO,-30.095452999999999,-51.225529999999999,AV VICENTE MONTEGGIA,,BOLETIM,2,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,26.5,50.0,sim,480966,20100119,14:10,TERCA-FEIRA,-30.094951540000000,-51.225459000000001,AV NONOAI,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,3.0,50.0,sim,480870,20100122,07:45,SEXTA-FEIRA,-30.109435000000001,-51.219799999999999,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,12.5,50.0,sim,480896,20100123,04:15,SABADO,-30.095101199999998,-51.225453999999999,AV NONOAI,,BOLETIM,1,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,2.4,50.0,sim,481238,20100129,12:30,SEXTA-FEIRA,-30.112490999999999,-51.215046000000001,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P2,Confluencia Cristiano Kraemer x Belem Velho x Monte Cristo,point,88.7,100.0,sim,481309,20100201,12:30,SEGUNDA-FEIRA,-30.117350840000000,-51.207250000000002,AV RODRIGUES DA FONSECA,R MIGUEL ASCOLEZE,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,12.7,50.0,sim,481762,20100203,12:40,QUARTA-FEIRA,-30.095061999999999,-51.225558999999997,AV NONOAI,,BOLETIM,0,0,0,0,0,0
