janela_id,inicio_m,fim_m,ocorrencias,feridos,feridos_graves,fatais,motos,bicicletas,onibus
1750_2000m,1750.0,2000.0,162,101,17,2,86,1,4
0500_0750m,500.0,750.0,225,105,12,2,72,2,2
1250_1500m,1250.0,1500.0,141,80,14,1,65,2,1
2500_2750m,2500.0,2750.0,100,58,8,1,39,3,1
0750_1000m,750.0,1000.0,54,40,0,1,27,0,3
1500_1750m,1500.0,1750.0,46,27,0,1,13,0,3
0000_0250m,0.0,250.0,494,168,16,0,136,5,25
0250_0500m,250.0,500.0,93,56,7,0,42,0,1
2750_2900m,2750.0,2900.8,79,46,6,0,35,0,2
1000_1250m,1000.0,1250.0,137,72,5,0,70,1,2
2250_2500m,2250.0,2500.0,62,48,5,0,26,1,2
2000_2250m,2000.0,2250.0,55,27,4,0,29,1,0
