logradouro,n_registros,estacao_mediana_m,estacao_min_m,estacao_max_m
AV CAVALHADA,174,7.6,0.0,13.1
AV NONOAI,212,7.6,3.3,22.4
R DR CAMPOS VELHO,159,7.6,0.0,7.6
AV FABIO ARAUJO SANTOS,16,213.9,212.8,219.3
AV OTTO NIEMEYER,100,689.8,642.1,695.1
ESTR ARACAJU,9,1085.9,1085.9,1219.1
R MODESTO PEREIRA PINTO,3,1326.1,1326.1,1326.1
AV JOSE CORREA DA SILVA,4,1397.5,1395.9,1397.5
R AMAPA,36,1476.9,1464.4,1481.3
R GREGORIO PEREZ,2,1476.9,1476.9,1476.9
R JORGE NAPOLEAO SILVA SOUZA,5,1809.6,1809.6,1809.6
ESTR JOAO VEDANA,25,1934.0,1934.0,1934.0
BC DO JOAO CONTE,2,2028.4,2028.3,2028.6
R ANGELO PASSUELO,3,2511.8,2511.8,2511.8
ESTR JOAO PASSUELO,19,2642.4,2630.4,2674.0
AV RODRIGUES DA FONSECA,21,2895.4,2835.4,2897.6
ESTR JOAO SALOMONI,17,2895.4,2893.5,2899.6
