Id,Data,Ano,TipoOcorre,LocalLogra,CruzLograd,Cruzamento,Bairro,Latitude,Longitude,dist_m,VitimaGrav,Ferido,Morte,Fatais,Motociclet,primary
491512,20100619,2010,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13405308,-51.175552,40.2,0,0,0,0,0,True
508144,20110204,2011,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.134112,-51.175568,45.6,0,1,0,0,1,True
523911,20110927,2011,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.134326,-51.175511,69.8,0,0,0,0,0,True
550042,20121028,2012,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.134491,-51.175468,88.6,0,0,0,0,0,True
556667,20130210,2013,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13439188,-51.175462,78.3,0,0,0,0,0,True
563558,20130523,2013,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.134326,-51.175511,69.8,0,0,0,0,0,True
571080,20130926,2013,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.135265,-51.175107,181.2,0,1,0,0,0,False
579827,20140225,2014,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.134491,-51.175468,88.6,0,0,0,1,1,True
583562,20140420,2014,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,1,0,0,1,True
588657,20140813,2014,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
592967,20141104,2014,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
592997,20141104,2014,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
593869,20141120,2014,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.133879,-51.175689,17.3,0,0,0,0,0,True
596784,20150125,2015,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.135313,-51.175144,185.1,0,2,0,0,1,False
606691,20150222,2015,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
602901,20150520,2015,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
615142,20151115,2015,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
616835,20151223,2015,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.135313,-51.175144,185.1,0,1,0,0,1,False
633855,20170404,2017,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
635036,20170507,2017,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13439188,-51.175462,78.3,1,2,0,0,1,True
635050,20170508,2017,BOLETIM,ESTR DAS TRES MENINAS,,Nao,,-30.13218381,-51.176536,188.2,0,1,0,0,0,False
639082,20170811,2017,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13439188,-51.175462,78.3,0,0,0,0,0,True
641096,20171025,2017,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.135274,-51.175176,180.1,0,1,0,0,1,False
642183,20171116,2017,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
642509,20171128,2017,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.135339,-51.175046,191.0,0,0,0,0,0,False
643707,20171223,2017,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,1,0,0,1,True
645491,20180228,2018,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
646466,20180329,2018,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
649920,20180702,2018,BOLETIM,ESTR COSTA GAMA,,Nao,0,-30.13319923,-51.175727,59.0,0,1,0,0,1,True
656826,20181209,2018,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,1,0,0,1,True
657382,20190223,2019,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13520569,-51.175196,172.2,0,1,0,0,1,False
667481,20191116,2019,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.135313,-51.175144,185.1,0,0,0,0,0,False
671575,20200311,2020,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
