ponto,idacidente,presente_no_recorte,motivo_ausencia_no_outro_recorte,data_auxiliar,distancia_m_auxiliar,data_eptc,distancia_m_eptc
P1,672978,eptc,coordenada_invalida,20200514,,20200514,7.696
P1,673856,eptc,coordenada_invalida,20200720,,20200720,82.734
P1,676059,eptc,coordenada_invalida,20201012,,20201012,55.799
P1,680035,auxiliar,coordenada_fora_do_limiar,20210309,1.975,20210309,3132.926
P1,683635,auxiliar,id_ausente_no_bruto,20201220,1.975,,
P1,692803,auxiliar,coordenada_fora_do_limiar,20220223,1.975,20220223,217.0
P1,699933,auxiliar,coordenada_fora_do_limiar,20220829,87.703,20220829,113.99
P1,700510,eptc,coordenada_fora_do_limiar,20220918,405.62,20220918,7.688
P1,704456,eptc,coordenada_fora_do_limiar,20221214,439.639,20221214,63.808
P1,764359,auxiliar,id_ausente_no_bruto,20241216,1.975,,
P1,774988,eptc,id_ausente_no_bruto,,,20250709,25.895
P2,671912,eptc,coordenada_invalida,20200308,,20200308,30.036
P2,673374,eptc,coordenada_invalida,20200618,,20200618,30.034
P2,674449,eptc,coordenada_invalida,20200820,,20200820,97.66
P2,674778,eptc,coordenada_invalida,20200826,,20200826,30.034
P2,675419,eptc,coordenada_invalida,20200903,,20200903,35.106
P2,677361,eptc,coordenada_invalida,20201124,,20201124,23.057
P2,678133,eptc,coordenada_fora_do_limiar,20201215,1065.204,20201215,30.034
P2,682611,eptc,coordenada_fora_do_limiar,20210527,101.149,20210527,98.31
P2,695260,auxiliar,coordenada_fora_do_limiar,20220502,29.019,20220502,1550.409
P2,696060,auxiliar,coordenada_fora_do_limiar,20220525,42.425,20220525,1550.409
P2,700510,auxiliar,coordenada_fora_do_limiar,20220918,99.921,20220918,308.457
P2,700761,auxiliar,coordenada_fora_do_limiar,20220926,99.921,20220926,1176.964
P2,728607,auxiliar,id_ausente_no_bruto,20230407,29.019,,
P2,729190,auxiliar,id_ausente_no_bruto,20230419,97.661,,
P2,730089,eptc,coordenada_fora_do_limiar,20230512,152.804,20230512,16.811
P2,732079,eptc,coordenada_invalida,20230423,,20230423,64.723
P2,745050,eptc,coordenada_fora_do_limiar,20240422,101.149,20240422,98.31
P2,764189,eptc,coordenada_fora_do_limiar,20241212,120.545,20241212,40.484
P2,772487,auxiliar,coordenada_fora_do_limiar,20250723,29.019,20250723,1550.409
P2,775486,eptc,id_ausente_no_bruto,,,20250820,39.161
P2,775489,eptc,id_ausente_no_bruto,,,20250822,16.811
P3,669519,eptc,coordenada_invalida,20200114,,20200114,78.356
P3,670731,eptc,coordenada_invalida,20200221,,20200221,78.356
P3,672597,eptc,coordenada_invalida,20200518,,20200518,63.193
P3,672709,eptc,coordenada_invalida,20200426,,20200426,66.198
P3,673336,eptc,coordenada_invalida,20200620,,20200620,62.186
P3,674831,eptc,coordenada_invalida,20200825,,20200825,0.894
P3,676295,eptc,coordenada_invalida,20201024,,20201024,78.356
P3,678053,auxiliar,id_ausente_no_bruto,20201226,74.578,,
P3,683502,eptc,coordenada_fora_do_limiar,20210606,151.483,20210606,81.344
P3,686074,auxiliar,id_ausente_no_bruto,20210828,57.143,,
P3,689182,auxiliar,coordenada_fora_do_limiar,20211112,98.974,20211112,101.247
P3,695361,eptc,coordenada_invalida,20220511,,20220511,68.024
P3,705321,auxiliar,coordenada_fora_do_limiar,20230113,64.534,20230113,253.144
P3,731728,auxiliar,id_ausente_no_bruto,20230617,57.143,,
P3,741335,eptc,coordenada_fora_do_limiar,20240130,151.483,20240130,81.344
